f_div_flux_expansion,ifail,pflux_div_heat_load_mw
1.5,1,8.922583489653212
2.0,1,6.704763613865556
2.5,1,5.368573502098135
3.0,1,4.475970121741251
4.0,1,3.3585890941887713
5.0,1,2.687468410977413
