p_hcd_injected_max,ifail,p_hcd_injected_total_mw,f_c_plasma_non_inductive,f_c_plasma_bootstrap,coe,p_plant_electric_net_mw,hfact,beta_total_vol_avg
180.0,1,161.41496989988798,0.5948663844616497,0.378708892254627,542.1907887007599,400.0234269002418,1.1999886703697233,0.046026665120540544
185.0,1,161.4286519411566,0.5949011613068904,0.37871220382188703,542.1937896466954,400.0196830119355,1.19999210625288,0.04602708295819386
190.0,1,161.42685604221975,0.5948967295068823,0.378711879810262,542.1925765387103,400.02066321233565,1.199991962443061,0.04602703413163815
195.0,1,161.4221438131877,0.5948839792682628,0.3787099013633249,542.1945534358857,400.02060201388986,1.1999893255407759,0.046026739864443715
200.0,1,161.42636691437815,0.5948949418999109,0.37871139148540467,542.1932943464013,400.02039410190525,1.1999910896735007,0.04602698343792236
205.0,1,161.4287240119939,0.5948998368274327,0.37871041759333396,542.1992357230945,400.01644728908843,1.199987551840125,0.04602687655981761
210.0,1,161.43742334308223,0.5949209749559562,0.3787120850820242,542.2002368280877,400.01571038853956,1.199988157031224,0.04602716833892146
215.0,1,161.4143569927092,0.5948612616719259,0.37870599946994155,542.2051132605118,400.0181106362837,1.199986196630446,0.046026134256760436
220.0,1,161.44377236668993,0.5949361185590489,0.37871347396676114,542.1999238043096,400.01636278260423,1.1999893088475209,0.046027418665192735
225.0,1,161.43468738814948,0.5949136021563534,0.3787116247013797,542.2003647500518,400.01705867973067,1.1999891836413248,0.04602708978126668
230.0,1,161.4334644118808,0.594913441454085,0.3787133962740662,542.1893124633281,400.023002176952,1.199992551108532,0.04602726880516127
