deg_div_field_plate,ifail,pflux_div_heat_load_mw
0.5,1,13.409016634023367
1.0,1,6.704763613865556
2.0,1,3.3528924686958597
3.0,1,2.235829209117926
4.0,1,1.6774681025923577
5.0,1,1.342588060936875
